프리팹명,할당된 레이어,컬링 거리,경로
BigTerrain02_002,Buildings,무한,Assets/_DLNK/Essential Terrain Pack/[PREFABS]/01 Terrain Big/BigTerrain02_002.prefab
Cypress00,Buildings,무한,Assets/_DLNK/Essential Terrain Pack/[PREFABS]/03 Detail Big/Trees/Cypress00.prefab
ETP_Tree_2_00c,Buildings,무한,Assets/_DLNK/Essential Terrain Pack/[PREFABS]/03 Detail Big/Trees/ETP_Tree_2_00c.prefab
ETP_Grass00_LOD,Buildings,무한,Assets/_DLNK/Essential Terrain Pack/[PREFABS]/04 Detail Small/Grass/ETP_Grass00_LOD.prefab
ETP_Plants_11,Buildings,무한,Assets/_DLNK/Essential Terrain Pack/[PREFABS]/04 Detail Small/Plants/ETP_Plants_11.prefab
ETP_Plants_11b Variant,Buildings,무한,Assets/_DLNK/Essential Terrain Pack/[PREFABS]/04 Detail Small/Plants/ETP_Plants_11b Variant.prefab
PalmPlant00,Buildings,무한,Assets/_DLNK/Essential Terrain Pack/[PREFABS]/04 Detail Small/Plants/PalmPlant00.prefab
PalmPlant00b Variant,Buildings,무한,Assets/_DLNK/Essential Terrain Pack/[PREFABS]/04 Detail Small/Plants/PalmPlant00b Variant.prefab
CloudSystem00,Buildings,무한,Assets/_DLNK/Essential Terrain Pack/[PREFABS]/05 FX/Clouds/CloudSystem00.prefab
CityTerrain_Base_0.5x0.5,Buildings,무한,Assets/_DLNK/Neon City/[Prefabs]/City Builder/0_Basic/Building Elements/Basic Shapes/Horizontal/CityTerrain_Base_0.5x0.5.prefab
CityTerrain_Base_1x0.5,Buildings,무한,Assets/_DLNK/Neon City/[Prefabs]/City Builder/0_Basic/Building Elements/Basic Shapes/Horizontal/CityTerrain_Base_1x0.5.prefab
CityTerrain_Base_1x1,Buildings,무한,Assets/_DLNK/Neon City/[Prefabs]/City Builder/0_Basic/Building Elements/Basic Shapes/Horizontal/CityTerrain_Base_1x1.prefab
CityTerrain_Base_2.5x2.5,Buildings,무한,Assets/_DLNK/Neon City/[Prefabs]/City Builder/0_Basic/Building Elements/Basic Shapes/Horizontal/CityTerrain_Base_2.5x2.5.prefab
CityTerrain_Base_2x0.5,Buildings,무한,Assets/_DLNK/Neon City/[Prefabs]/City Builder/0_Basic/Building Elements/Basic Shapes/Horizontal/CityTerrain_Base_2x0.5.prefab
CityTerrain_Base_2x1,Buildings,무한,Assets/_DLNK/Neon City/[Prefabs]/City Builder/0_Basic/Building Elements/Basic Shapes/Horizontal/CityTerrain_Base_2x1.prefab
CityTerrain_Base_2x2,Buildings,무한,Assets/_DLNK/Neon City/[Prefabs]/City Builder/0_Basic/Building Elements/Basic Shapes/Horizontal/CityTerrain_Base_2x2.prefab
CityTerrain_Base_5x2.5,Buildings,무한,Assets/_DLNK/Neon City/[Prefabs]/City Builder/0_Basic/Building Elements/Basic Shapes/Horizontal/CityTerrain_Base_5x2.5.prefab
